position,driver,team,number,laps,time,interval,tyres,km/h,race_name,pits,points,podium,race_name_clean,circuit_difficulty,driver_code,team_code,constructor_code,grid_position,position_change
0.0,J. Doohan,Alpine,7,0,—,—,0,0.0,Australian GP,0.0,0.0,0,australian_gp,3.0,9,0,0,10,0.0
0.0,I. Hadjar,Racing Bulls,6,0,—,—,0,0.0,Australian GP,0.0,0.0,0,australian_gp,3.0,8,6,6,10,0.0
1.0,O. Piastri,McLaren,81,56,1:30:55.026,—,0,201.325,Chinese GP,1.0,25.0,1,chinese_gp,3.0,17,4,4,10,9.0
2.0,L. Norris,McLaren,4,56,1:30:04.774,9.748,0,200.966,Chinese GP,1.0,18.0,1,chinese_gp,3.0,12,4,4,10,8.0
3.0,G. Russell,Mercedes,63,56,1:31:06.123,1.349,0,200.917,Chinese GP,1.0,15.0,1,chinese_gp,3.0,7,5,5,10,7.0
4.0,M. Verstappen,Red Bull Racing,1,56,1:31:11.682,5.559,0,200.712,Chinese GP,1.0,12.0,0,chinese_gp,3.0,14,7,7,10,6.0
0.0,C. Leclerc,Ferrari,16,56,1:31:18.237,6.555,0,200.472,Chinese GP,1.0,0.0,0,chinese_gp,3.0,2,2,2,10,0.0
0.0,L. Hamilton,Ferrari,44,56,1:31:20.407,2.170,0,200.393,Chinese GP,2.0,0.0,0,chinese_gp,3.0,10,2,2,10,0.0
5.0,E. Ocon,Haas F1 Team,31,56,1:31:44.996,24.588,0,199.498,Chinese GP,1.0,10.0,0,chinese_gp,3.0,4,3,3,10,5.0
6.0,A. Antonelli,Mercedes,12,56,1:31:48.774,3.779,0,199.361,Chinese GP,1.0,8.0,0,chinese_gp,3.0,1,5,5,10,4.0
0.0,P. Gasly,Alpine,10,56,1:32:02.221,5.892,0,198.876,Chinese GP,1.0,0.0,0,chinese_gp,3.0,18,0,0,10,0.0
7.0,A. Albon,Williams,23,56,1:31:51.347,2.573,0,199.268,Chinese GP,1.0,6.0,0,chinese_gp,3.0,0,9,9,10,3.0
